id_player,id_team,round,position,cartola_price,cartola_score,cartola_price_update,cartola_score_mean,goal_assistance,scored_goals,saved_kicks,wrong_kicks,crossbar_kicks,wrong_passes,missed_penalties,stolen_ball,difficult_gk_saves,gk_penalty_saves,conceded_goals
80196,267,1,mei,11.1,2.0,-2.9,2.0,,,,,,,,1.0,,,
78445,262,1,lat,8.74,0.6,-3.26,0.6,,,,,,3.0,,1.0,,,
80853,284,1,zag,12.49,8.0,2.49,8.0,,,,,,,,5.0,,,
38229,282,1,lat,12.77,9.4,3.77,9.4,,1.0,,,,2.0,,1.0,,,
38910,282,1,ata,18.94,12.3,3.94,12.3,,1.0,,1.0,1.0,,,,,,
86757,284,1,ata,16.37,10.6,3.37,10.6,,1.0,1.0,,,2.0,,1.0,,,
62121,277,1,gol,22.69,15.7,5.69,15.7,,,,,,1.0,,,6.0,,1.0
78850,276,1,lat,12.28,6.7,1.28,6.7,,,,,,1.0,,2.0,,,
78548,277,1,mei,10.96,3.8,-1.04,3.8,,,1.0,,,3.0,,2.0,,,
80313,266,1,lat,9.71,0.0,-4.29,0.0,,,1.0,,,4.0,,,,,
38648,276,1,mei,16.79,6.2,-1.21,6.2,1.0,,1.0,,,,,,,,
83257,262,1,ata,18.04,12.0,4.04,12.0,,1.0,,2.0,,2.0,,2.0,,,
87342,284,1,zag,17.62,0.4,-7.38,0.4,,,,,,2.0,,2.0,,,
42234,264,1,gol,5.2,-4.5,-6.8,-4.5,,,,,,,,,1.0,,3.0
37656,283,1,gol,7.63,-3.0,-6.37,-3.0,,,,,,,,,1.0,,3.0
42500,264,1,lat,5.83,3.4,0.83,3.4,,,,,,2.0,,3.0,,,
60819,283,1,zag,14.15,0.4,-5.85,0.4,,,,,,2.0,,1.0,,,
50307,282,1,mei,7.56,4.9,1.56,4.9,,,,,,2.0,,3.0,,,
90285,262,1,ata,21.51,21.0,11.51,21.0,,2.0,2.0,2.0,,,,,,,
54395,282,1,mei,9.64,3.9,-0.36,3.9,,,,1.0,1.0,3.0,,1.0,,,
63219,282,1,mei,8.05,3.6,0.05,3.6,,,,,,3.0,,3.0,,,
73896,282,1,ata,12.56,13.1,7.56,13.1,1.0,,1.0,,,2.0,,3.0,,,
71162,282,1,mei,4.51,-0.5,-2.49,-0.5,,,,1.0,,1.0,,,,,
81091,282,1,mei,6.59,1.5,-1.41,1.5,,,,,,,,1.0,,,
89226,282,1,zag,3.19,-1.4,-2.81,-1.4,,,,,,3.0,,,,,
52950,282,1,gol,6.24,-2.0,-4.76,-2.0,,,,,,,,,,,1.0
74061,263,1,gol,8.6,-1.6,-5.4,-1.6,,,,,,2.0,,,1.0,,2.0
68808,265,1,lat,13.95,2.1,-4.05,2.1,1.0,,,,,3.0,,,,,
61033,283,1,mei,4.86,2.0,-0.14,2.0,,,,,,,,1.0,,,
101319,282,1,lat,2.78,-2.0,-3.22,-2.0,,,,,,5.0,,,,,
99891,282,1,ata,8.74,3.6,-0.26,3.6,,,,3.0,,6.0,,2.0,,,
38515,314,1,zag,6.38,4.2,1.38,4.2,,,,,,1.0,,3.0,,,
69040,314,1,gol,0.69,-4.0,-2.31,-4.0,,,,,,,,,,,2.0
37646,314,1,zag,3.12,-1.5,-2.88,-1.5,,,,,,5.0,,1.0,,,
78840,314,1,mei,2.57,-0.3,-1.43,-0.3,,,,,,1.0,,,,,
74069,314,1,mei,2.64,1.8,0.64,1.8,,,,1.0,,,,1.0,,,
42208,314,1,mei,4.09,0.9,-0.91,0.9,,,,1.0,,3.0,,,,,
70161,314,1,ata,3.12,1.5,0.12,1.5,,,,,,,,1.0,,,
82474,314,1,mei,1.87,-0.3,-1.13,-0.3,,,,,,1.0,,1.0,,,
86116,314,1,mei,3.47,1.0,-0.53,1.0,,,,1.0,,1.0,,,,,
90573,314,1,ata,5.41,2.8,0.41,2.8,,,,1.0,1.0,,,,,,
86770,314,1,mei,4.58,1.6,-0.42,1.6,,,,,,3.0,,1.0,,,
101846,314,1,lat,7.08,7.2,4.08,7.2,1.0,,,,,1.0,,2.0,,,
104819,314,1,ata,6.73,6.7,3.73,6.7,,1.0,,,,1.0,,,,,
68770,293,1,mei,4.3,1.2,-0.7,1.2,,,,,,1.0,,1.0,,,
69012,293,1,gol,6.17,0.9,-1.83,0.9,,,,,,2.0,,,1.0,,1.0
69022,293,1,ata,5.83,0.4,-2.17,0.4,,,1.0,1.0,,2.0,,,,,
68696,354,1,ata,5.27,1.6,-0.73,1.6,,,2.0,,,1.0,,,,,
62129,293,1,mei,3.05,-0.6,-1.95,-0.6,,,,,,2.0,,,,,
69705,293,1,mei,19.29,18.8,10.29,18.8,,1.0,1.0,2.0,,,,5.0,,,
38573,265,1,mei,5.06,1.3,-0.94,1.3,,,,1.0,,,,,,,
38001,265,1,gol,2.08,-1.0,-1.92,-1.0,,,,,,,,,1.0,,2.0
49651,265,1,zag,6.24,4.0,1.24,4.0,,,,,,,,3.0,,,
61188,265,1,ata,14.71,8.2,1.71,8.2,1.0,,1.0,,,,,2.0,,,
62033,265,1,ata,7.08,1.2,-1.92,1.2,,,1.0,,,,,,,,
95799,265,1,ata,8.26,7.9,4.26,7.9,,1.0,,,,7.0,,2.0,,,
103295,265,1,mei,14.36,9.7,3.36,9.7,1.0,,1.0,1.0,,1.0,,2.0,,,
71719,265,1,mei,4.79,0.9,-1.21,0.9,,,,,,2.0,,2.0,,,
73540,265,1,ata,10.2,7.7,3.2,7.7,,1.0,,,,1.0,,,,,
80337,265,1,ata,10.2,6.7,2.2,6.7,,1.0,,1.0,,2.0,,,,,
80189,265,1,zag,4.65,-0.3,-2.35,-0.3,,,,,,1.0,,,,,
90444,265,1,lat,11.24,8.2,3.24,8.2,,,1.0,1.0,,1.0,,5.0,,,
95798,263,1,mei,8.05,7.6,4.05,7.6,,,,,,3.0,,5.0,,,
95464,265,1,mei,12.07,7.4,2.07,7.4,,,,,,2.0,,6.0,,,
37688,263,1,mei,7.35,1.6,-1.65,1.6,,,1.0,,,2.0,,,,,
68901,263,1,ata,2.36,-1.6,-2.64,-1.6,,,1.0,1.0,,2.0,,,,,
68930,356,1,ata,4.72,0.8,-1.28,0.8,,,,1.0,,,,,,,
72168,263,1,mei,6.11,0.8,-1.89,0.8,,,,,,4.0,,2.0,,,
84848,263,1,ata,7.84,0.3,-3.16,0.3,,,,,,4.0,,,,,
87393,263,1,zag,5.48,0.9,-1.52,0.9,,,,,,2.0,,1.0,,,
90715,263,1,mei,5.55,1.0,-1.45,1.0,,,,,,,,,,,
91508,263,1,mei,7.28,0.5,-2.72,0.5,,,,1.0,,1.0,,,,,
89815,263,1,mei,3.61,0.2,-1.39,0.2,,,,,,1.0,,,,,
93414,263,1,zag,7.22,1.4,-1.78,1.4,,,,,,2.0,,3.0,,,
93797,263,1,lat,6.38,3.2,0.38,3.2,,,,1.0,,2.0,,2.0,,,
