id_player,id_team,round,position,cartola_price,cartola_score,cartola_price_update,cartola_score_mean,goal_assistance,scored_goals,saved_kicks,wrong_kicks,crossbar_kicks,wrong_passes,missed_penalties,stolen_ball,difficult_gk_saves,gk_penalty_saves,conceded_goals
69040,277,21,gol,6.43,0.0,0.0,2.93,,,,,,12.0,,,4.0,,3.0
78865,285,21,mei,4.43,0.4,0.29,-0.05,,,,,,7.0,,3.0,,,
86797,277,21,ata,5.16,0.0,0.0,2.95,,,2.0,2.0,,7.0,,8.0,,,
104649,285,21,lat,4.25,0.0,0.0,4.53,4.0,,2.0,1.0,,45.0,,20.0,,,
86841,285,21,mei,8.45,0.0,0.0,3.81,1.0,1.0,9.0,5.0,,92.0,,40.0,,,
86264,373,21,lat,3.54,0.0,0.02,1.99,,,1.0,3.0,,52.0,,9.0,,,
94838,285,21,mei,4.89,0.0,0.0,1.51,,1.0,,2.0,,25.0,,23.0,,,
73620,276,21,zag,7.63,0.3,-0.41,2.62,,,,3.0,,26.0,,11.0,,,
96725,285,21,lat,18.78,0.0,0.0,7.96,1.0,,1.0,2.0,,56.0,,37.0,,,
63013,275,21,lat,8.51,7.1,0.25,2.9,,,,1.0,,111.0,,34.0,,,
72620,276,21,lat,7.16,0.0,0.0,3.27,1.0,,1.0,2.0,,34.0,,11.0,,,
72018,276,21,gol,13.37,3.7,0.15,4.3,1.0,,,,,127.0,,1.0,17.0,3.0,17.0
70916,284,21,lat,7.64,-0.2,-0.93,2.99,1.0,,1.0,6.0,,96.0,,34.0,,,
100987,285,21,mei,6.63,0.0,0.0,4.96,,1.0,1.0,,,14.0,,19.0,,,
101315,294,21,mei,2.34,-0.3,-0.76,1.23,,,1.0,6.0,,21.0,,5.0,,,
104578,277,21,ata,1.98,-1.0,-0.22,0.54,,,1.0,,,14.0,,5.0,,,
98034,292,21,gol,0.98,-4.4,-0.91,-0.4,,,,,,58.0,,1.0,6.0,,10.0
104580,277,21,mei,1.47,0.0,0.0,-0.65,,,,,,1.0,,6.0,,,
101715,280,21,ata,11.12,0.0,0.0,5.76,2.0,5.0,5.0,9.0,2.0,35.0,1.0,6.0,,,
69138,276,21,ata,7.17,0.2,-0.51,1.89,1.0,1.0,4.0,17.0,,28.0,,6.0,,,
72290,275,21,gol,3.32,8.4,1.97,-0.4,,,,,,26.0,,,2.0,,5.0
106821,285,21,mei,1.74,0.0,0.0,0.82,1.0,,,1.0,,12.0,,2.0,,,
97867,280,21,zag,7.62,-1.0,-0.74,2.97,,3.0,1.0,5.0,,85.0,,40.0,,,
